Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,Open.CREDIT.Lines,Revolving.CREDIT.Balance
27000,27000,0.18,36 months,home_improvement,0.22,MORTGAGE,8583.33,9,6658
12250,12250,0.19,36 months,debt_consolidation,0.17,OWN,2916.67,7,10523
10000,10000,0.18,36 months,debt_consolidation,0.23,RENT,2500,12,12938
9175,9175,0.14,36 months,credit_card,0.19,MORTGAGE,7083.33,8,25639
14075,14075,0.15,36 months,debt_consolidation,0.26,OWN,4000,13,11907
13100,13100,0.19,36 months,debt_consolidation,0.23,RENT,7968.75,19,19607
14675,14675,0.09,36 months,debt_consolidation,0.15,MORTGAGE,4000,6,12764
5000,4900,0.11,36 months,major_purchase,0.03,RENT,3200,6,2650
18000,18000,0.13,36 months,debt_consolidation,0.27,MORTGAGE,4166.67,11,16680
12000,12000,0.08,36 months,debt_consolidation,0.15,RENT,5666.67,7,12094
19400,19400,0.14,36 months,debt_consolidation,0.16,MORTGAGE,4583.33,12,12434
18000,18000,0.12,36 months,debt_consolidation,0.19,RENT,3333.33,15,26573
12000,12000,0.18,36 months,debt_consolidation,0.1,MORTGAGE,7500,11,15866
8000,8000,0.13,36 months,debt_consolidation,0.26,MORTGAGE,4166.67,15,11500
23750,23750,0.2,60 months,debt_consolidation,0.14,RENT,8333.33,12,10549
7500,7475,0.16,36 months,debt_consolidation,0.11,MORTGAGE,5000,8,8257
5500,5500,0.13,36 months,debt_consolidation,0.21,RENT,1666.67,7,5056
16950,16950,0.17,60 months,debt_consolidation,0.27,MORTGAGE,3583.33,7,12588
3000,2950,0.11,36 months,major_purchase,0.28,MORTGAGE,4333.33,6,6346
1600,1600,0.13,36 months,debt_consolidation,0.12,RENT,3200,5,1214
6000,6000,0.07,36 months,home_improvement,0.15,MORTGAGE,5833.33,12,7961
7350,7350,0.12,36 months,debt_consolidation,0.2,OWN,3355.05,19,11626
12825,12825,0.18,36 months,debt_consolidation,0.24,MORTGAGE,3416.67,15,8539
24000,23975,0.21,60 months,debt_consolidation,0.24,MORTGAGE,6500,17,36555
10000,10000,0.18,60 months,debt_consolidation,0.16,RENT,4104.67,5,7597
5500,5500,0.14,36 months,debt_consolidation,0.28,OWN,1541.67,5,10481
17500,17500,0.15,36 months,debt_consolidation,0.09,RENT,9519.75,9,31279
10000,10000,0.13,36 months,credit_card,0.19,MORTGAGE,7500,11,14426
20000,16275,0.06,36 months,debt_consolidation,0.12,MORTGAGE,8083.33,13,29813
11600,11600,0.07,36 months,debt_consolidation,0.09,RENT,5833.33,8,2671
12000,12000,0.14,60 months,debt_consolidation,0.13,RENT,4166.67,8,2316
13000,6770.1,0.11,36 months,small_business,0.14,MORTGAGE,7666.67,8,9551
8575,8550,0.17,36 months,debt_consolidation,0.1,RENT,2500,6,8807
6100,6100,0.14,36 months,credit_card,0.1,RENT,6666.67,10,5665
14000,14000,0.15,36 months,credit_card,0.14,MORTGAGE,5000,5,11249
10500,10500,0.14,36 months,debt_consolidation,0.2,MORTGAGE,5666.67,7,11301
19600,19525,0.21,60 months,small_business,0.1,RENT,4170,8,11669
15000,15000,0.16,36 months,credit_card,0.1,RENT,3333.33,11,10108
8000,8000,0.17,36 months,other,0.05,MORTGAGE,5833.33,11,12484
20000,20000,0.21,36 months,debt_consolidation,0.27,MORTGAGE,7750,15,26976
11000,10969.64,0.13,36 months,debt_consolidation,0.19,RENT,3500,6,6811
6000,5905.66,0.18,36 months,credit_card,0.07,RENT,4166.67,5,3433
12000,12000,0.11,36 months,debt_consolidation,0.03,MORTGAGE,10833.33,12,11941
17000,17000,0.13,36 months,debt_consolidation,0.17,RENT,5083.33,10,8890
6250,6250,0.08,36 months,debt_consolidation,0.08,RENT,1916.67,6,3295
27825,27825,0.24,60 months,debt_consolidation,0.13,RENT,6250,16,27093
30000,30000,0.15,36 months,debt_consolidation,0.15,RENT,8333.33,21,29060
4200,3969.9,0.14,36 months,home_improvement,0.05,MORTGAGE,1558.42,6,2255
3800,3800,0.22,36 months,small_business,0.08,RENT,4333.33,6,4843
2000,2000,0.15,36 months,moving,0.21,RENT,2766.67,5,2162
6000,6000,0.14,36 months,debt_consolidation,0.24,RENT,4000,12,24934
21000,21000,0.19,60 months,debt_consolidation,0.16,RENT,8416.67,8,8764
2500,2500,0.13,36 months,credit_card,0.06,RENT,5416.67,8,15373
2400,2400,0.17,36 months,other,0.17,RENT,2700,3,3418
13000,13000,0.11,36 months,credit_card,0.15,RENT,2166.67,4,11101
4800,4800,0.15,36 months,credit_card,0.14,RENT,5000,8,7391
17475,17475,0.1,36 months,credit_card,0.18,RENT,3333.33,15,17261
16450,16400,0.22,60 months,debt_consolidation,0.26,MORTGAGE,2833.33,23,12670
14000,14000,0.15,36 months,debt_consolidation,0.03,MORTGAGE,8750,6,9035
2500,2500,0.17,36 months,other,0.11,MORTGAGE,5833.33,8,14122
8000,8000,0.18,36 months,debt_consolidation,0.14,RENT,4166.67,10,9425
5000,5000,0.13,36 months,debt_consolidation,0.21,RENT,3108.33,8,0
15000,15000,0.13,36 months,debt_consolidation,0.13,RENT,9000,19,11016
25000,24814.89,0.13,60 months,wedding,0.04,MORTGAGE,22916.67,13,34069
3000,2975,0.09,36 months,debt_consolidation,0.32,RENT,1000,7,9730
6000,6000,0.08,36 months,credit_card,0.34,RENT,4116.67,16,33746
7800,7800,0.11,36 months,debt_consolidation,0.07,MORTGAGE,4000,6,11063
25000,25000,0.08,36 months,debt_consolidation,0.19,MORTGAGE,7083.33,17,47504
18500,3100,0.15,36 months,credit_card,0.05,RENT,7500,8,22379
12000,12000,0.13,60 months,home_improvement,0.17,MORTGAGE,9166.67,11,25165
5000,5000,0.16,36 months,debt_consolidation,0.05,MORTGAGE,2416.67,5,1620
2500,2500,0.11,60 months,other,0.02,OWN,3958,4,3417
16000,16000,0.16,60 months,debt_consolidation,0.06,MORTGAGE,5083.33,7,8729
25000,25000,0.15,60 months,debt_consolidation,0.04,RENT,5666.67,6,11079
2000,2000,0.17,36 months,other,0.12,RENT,3400,3,747
2200,2200,0.1,36 months,major_purchase,0.24,MORTGAGE,3400,6,1453
14000,13825,0.1,36 months,debt_consolidation,0.09,MORTGAGE,8333.33,8,40267
3000,3000,0.13,36 months,debt_consolidation,0.32,MORTGAGE,2583.33,13,6683
11425,11400,0.1,36 months,debt_consolidation,0.19,MORTGAGE,4750,9,6359
17325,17325,0.17,60 months,debt_consolidation,0.3,RENT,3750,13,31362
5425,5425,0.08,36 months,debt_consolidation,0.21,MORTGAGE,6333.33,21,25996
20000,20000,0.23,60 months,debt_consolidation,0.02,RENT,12500,5,5407
3300,3300,0.12,36 months,car,0.04,RENT,3730,7,3675
2000,2000,0.17,36 months,home_improvement,0.21,MORTGAGE,3750,10,1371
26500,26500,0.13,36 months,home_improvement,0.14,RENT,5833.33,8,64504
17975,17975,0.19,36 months,debt_consolidation,0.19,RENT,4833.33,10,17448
15000,14925.21,0.13,36 months,debt_consolidation,0.14,RENT,4458.33,15,7701
16400,16350,0.14,60 months,debt_consolidation,0.24,RENT,3500,11,16693
13500,13500,0.14,60 months,debt_consolidation,0.13,MORTGAGE,8833.33,11,18978
12000,12000,0.15,36 months,debt_consolidation,0.04,RENT,7083.33,7,6040
16750,16750,0.21,60 months,debt_consolidation,0.22,RENT,2833.33,12,7903
8000,8000,0.12,36 months,major_purchase,0.01,RENT,1125,2,707
10000,10000,0.1,36 months,debt_consolidation,0.14,MORTGAGE,5416.67,8,10560
10000,10000,0.15,36 months,debt_consolidation,0.11,RENT,7083,13,11890
5525,5525,0.14,36 months,credit_card,0.21,MORTGAGE,6620,8,37573
17200,17200,0.2,60 months,home_improvement,0.1,RENT,3666.67,4,2117
19600,19575,0.16,36 months,other,0.29,RENT,4166.67,17,22053
4000,4000,0.11,36 months,debt_consolidation,0.23,MORTGAGE,3833.33,9,0
13000,13000,0.13,36 months,debt_consolidation,0.11,RENT,5000,3,11090
8000,7850,0.1,36 months,house,0,RENT,4250,4,132
25000,5640.7,0.1,36 months,home_improvement,0.1,MORTGAGE,7916.67,23,16386
20000,19900,0.1,36 months,wedding,0.11,RENT,7083.33,14,18196
27575,27575,0.17,60 months,debt_consolidation,0.18,MORTGAGE,7833.33,20,28055
24000,24000,0.14,36 months,debt_consolidation,0.16,MORTGAGE,7500,5,2426
7000,7000,0.18,36 months,wedding,0.16,RENT,5000,11,13665
12000,11975,0.17,60 months,debt_consolidation,0.11,MORTGAGE,3500,6,26874
14000,14000,0.19,60 months,debt_consolidation,0.14,MORTGAGE,3616,9,13923
10000,9975,0.11,36 months,debt_consolidation,0.13,RENT,2500,8,14257
7750,7750,0.06,36 months,debt_consolidation,0.22,RENT,4766.67,14,4667
15000,11550,0.14,36 months,debt_consolidation,0.17,OWN,3333.33,8,10820
15000,14950,0.12,36 months,debt_consolidation,0.12,MORTGAGE,5000,9,3470
25000,25000,0.15,36 months,debt_consolidation,0.13,RENT,5416.67,10,22824
15000,14975,0.15,60 months,debt_consolidation,0.08,MORTGAGE,4407,8,15818
5000,5000,0.16,36 months,debt_consolidation,0.16,MORTGAGE,8750,12,19598
5000,5000,0.13,36 months,wedding,0.17,MORTGAGE,3250,18,4656
35000,35000,0.15,36 months,debt_consolidation,0.15,RENT,6666.67,22,33472
7500,6025,0.15,36 months,debt_consolidation,0.18,OWN,5000,11,16422
25000,15675,0.1,60 months,home_improvement,0.16,MORTGAGE,3333.33,6,22713
3800,3800,0.11,36 months,major_purchase,0.15,MORTGAGE,5416.67,11,9266
2800,2800,0.09,36 months,other,0.28,RENT,3250,13,22401
6250,6250,0.07,36 months,credit_card,0.24,MORTGAGE,2900,13,21536
18000,17994.46,0.1,36 months,debt_consolidation,0.12,MORTGAGE,3333.33,13,10416
6000,6000,0.17,36 months,debt_consolidation,0.29,RENT,2752.92,12,4569
20000,20000,0.14,36 months,debt_consolidation,0.35,MORTGAGE,4583.33,8,6510
8000,8000,0.11,36 months,debt_consolidation,0.24,RENT,2666.67,11,10128
12000,12000,0.07,36 months,home_improvement,0.05,MORTGAGE,9833.33,15,5584
24000,7100,0.11,60 months,home_improvement,0.12,OWN,5686.67,6,1726
3000,2925,0.11,36 months,debt_consolidation,0.09,RENT,4900,6,3996
5000,5000,0.07,36 months,major_purchase,0.09,MORTGAGE,3750,12,3998
21850,21800,0.14,60 months,debt_consolidation,0.18,RENT,3750,5,7102
21850,21850,0.23,60 months,medical,0.27,MORTGAGE,5833.33,21,29643
10000,7586.93,0.13,36 months,credit_card,0.14,MORTGAGE,6666.67,8,126402
15000,10150.07,0.16,36 months,other,0.03,OWN,2500,6,3004
9600,9600,0.07,36 months,other,0.1,RENT,6048,7,15700
25000,24975,0.21,36 months,credit_card,0.15,RENT,7301.58,18,21675
25000,14401.65,0.11,60 months,home_improvement,0.05,MORTGAGE,3333.33,9,3367
30000,29950,0.08,36 months,home_improvement,0,RENT,13416.67,9,2174
20000,20000,0.17,60 months,debt_consolidation,0.07,OWN,4000,6,5845
14825,14825,0.14,36 months,small_business,0.1,RENT,2500,8,8073
8000,8000,0.17,36 months,debt_consolidation,0.02,MORTGAGE,6000,5,5032
20000,20000,0.12,36 months,debt_consolidation,0.15,MORTGAGE,10416.67,12,26179
7000,7000,0.08,36 months,medical,0.21,OWN,2300,4,0
20000,19900,0.11,36 months,debt_consolidation,0.13,MORTGAGE,2416.67,5,6011
5000,4500,0.11,36 months,major_purchase,0,RENT,3166.67,5,4254
17625,17600,0.13,36 months,credit_card,0.15,RENT,3333.33,6,20266
7150,7150,0.13,36 months,debt_consolidation,0.12,RENT,3666.67,11,10561
25000,24775,0.1,36 months,debt_consolidation,0.01,RENT,8533.33,9,28038
15000,15000,0.14,36 months,debt_consolidation,0.33,RENT,4500,20,13369
9000,9000,0.07,36 months,debt_consolidation,0.14,RENT,4166.67,5,7853
17600,17600,0.16,36 months,debt_consolidation,0.17,MORTGAGE,7500,16,14555
10000,10000,0.13,36 months,debt_consolidation,0.14,RENT,2500,6,10481
11200,11000,0.15,60 months,home_improvement,0.16,MORTGAGE,6750,15,19051
13225,13225,0.15,36 months,debt_consolidation,0.27,RENT,5833.33,11,18569
4000,4000,0.11,36 months,other,0.34,MORTGAGE,3333.33,12,12922
12000,11975,0.11,36 months,credit_card,0.09,MORTGAGE,12083.33,7,43299
35000,35000,0.19,36 months,debt_consolidation,0.21,MORTGAGE,13750,38,99549
25000,17250,0.15,36 months,debt_consolidation,0.25,RENT,8750,11,20798
9000,9000,0.06,36 months,debt_consolidation,0.12,MORTGAGE,5000,13,5224
18225,18225,0.12,36 months,debt_consolidation,0.21,MORTGAGE,4850,7,37592
4750,4750,0.15,36 months,small_business,0.03,OWN,866.67,6,740
14400,14400,0.07,36 months,home_improvement,0.07,MORTGAGE,12500,6,1280
30000,30000,0.24,60 months,debt_consolidation,0.14,RENT,6928.13,6,28665
13475,13475,0.12,36 months,credit_card,0.19,MORTGAGE,2250,3,11674
10000,10000,0.19,36 months,other,0.18,MORTGAGE,3750,10,7034
12000,12000,0.07,36 months,credit_card,0.09,MORTGAGE,5833.33,9,12028
6000,6000,0.17,60 months,debt_consolidation,0.18,RENT,3083,3,1181
9500,6500,0.07,36 months,credit_card,0.14,MORTGAGE,7500,13,100233
12000,11875,0.1,60 months,credit_card,0.17,MORTGAGE,3791.67,10,59495
5000,5000,0.09,36 months,credit_card,0.16,MORTGAGE,6666.67,10,12307
3600,3600,0.09,36 months,debt_consolidation,0.03,RENT,1558.33,4,1594
27000,26993.89,0.14,60 months,home_improvement,0.18,OWN,4833.33,18,12588
10000,10000,0.14,36 months,debt_consolidation,0.11,RENT,7500,6,7778
5450,5450,0.13,36 months,medical,0.26,RENT,3500,9,7619
16000,13613.86,0.15,60 months,debt_consolidation,0.15,MORTGAGE,3006.44,10,11011
9750,9750,0.17,36 months,debt_consolidation,0.22,RENT,2817.5,12,6324
30000,30000,0.08,36 months,major_purchase,0.01,OWN,10416.67,6,740
14000,13975,0.12,36 months,other,0.03,MORTGAGE,6250,14,7085
8500,8500,0.07,36 months,debt_consolidation,0.05,MORTGAGE,4166.67,8,7114
14400,14400,0.08,36 months,wedding,0.18,RENT,13100,11,14550
8000,8000,0.07,36 months,debt_consolidation,0.02,RENT,3750,6,3381
12000,12000,0.13,36 months,debt_consolidation,0.06,RENT,13166.67,8,8426
10400,10350,0.13,36 months,debt_consolidation,0.08,OWN,6166.67,10,14193
21000,21000,0.19,60 months,home_improvement,0.11,MORTGAGE,10250,12,38820
6000,5925,0.12,36 months,debt_consolidation,0.03,RENT,6333.33,13,7269
10800,10800,0.14,60 months,car,0.01,RENT,7500,4,1577
2100,2100,0.14,36 months,major_purchase,0.04,OWN,1000,13,893
4000,4000,0.06,36 months,other,0.15,MORTGAGE,6583.33,6,63294
3500,3500,0.08,36 months,debt_consolidation,0.21,RENT,4333.33,9,11538
24250,23811.24,0.13,36 months,home_improvement,0.13,OWN,18750,10,121563
19000,19000,0.14,60 months,credit_card,0.16,MORTGAGE,5000,8,20918
10500,10477.85,0.15,36 months,credit_card,0.14,RENT,3083.33,8,14726
2500,2500,0.18,36 months,debt_consolidation,0.22,MORTGAGE,3916.67,7,14892
16000,16000,0.15,36 months,debt_consolidation,0.09,RENT,5416.67,9,15518
3000,1300,0.14,36 months,debt_consolidation,0.19,RENT,1000,12,2545
10000,10000,0.05,36 months,credit_card,0.1,MORTGAGE,7500,11,11532
7100,7100,0.14,36 months,credit_card,0.19,RENT,4166.67,13,6788
12500,12425,0.09,36 months,home_improvement,0.12,MORTGAGE,4166.67,7,1052
1700,1700,0.14,36 months,car,0.21,OWN,1200,10,7382
4000,4000,0.11,36 months,debt_consolidation,0.12,MORTGAGE,6666.67,7,7153
18225,18225,0.18,36 months,debt_consolidation,0.23,RENT,3083.33,6,17128
30000,30000,0.16,60 months,major_purchase,0.2,RENT,13666.67,14,39059
10000,10000,0.07,36 months,home_improvement,0.17,RENT,6916.67,6,10302
6000,6000,0.08,36 months,credit_card,0.03,RENT,7500,5,6394
6000,6000,0.12,36 months,major_purchase,0.07,MORTGAGE,5000,6,14045
6000,6000,0.16,36 months,debt_consolidation,0.2,OWN,1666.67,7,5291
7000,7000,0.18,36 months,debt_consolidation,0.18,RENT,4750,11,12307
10000,10000,0.15,36 months,credit_card,0.1,OWN,4166.67,11,11551
3250,3250,0.13,36 months,debt_consolidation,0.21,MORTGAGE,5000,12,20564
30000,29950,0.2,60 months,debt_consolidation,0.22,RENT,10416.67,11,61661
21000,21000,0.11,36 months,small_business,0.17,MORTGAGE,18750,13,120538
11000,11000,0.08,36 months,debt_consolidation,0.12,OWN,7666.67,6,12461
5500,5400,0.07,36 months,credit_card,0.2,MORTGAGE,3916.67,15,10254
15000,15000,0.08,36 months,debt_consolidation,0.06,RENT,2916.67,13,14290
20000,17890.7,0.2,60 months,debt_consolidation,0.17,MORTGAGE,7916.67,17,39621
7200,6250,0.08,36 months,debt_consolidation,0.17,MORTGAGE,5100,4,9366
4000,4000,0.19,60 months,debt_consolidation,0.19,RENT,4000,9,16543
20000,20000,0.09,36 months,debt_consolidation,0.11,MORTGAGE,7083.33,13,28324
15000,15000,0.12,36 months,credit_card,0.19,RENT,5000,18,13830
8000,7825,0.12,36 months,credit_card,0.08,RENT,5417,5,43799
15000,14900,0.2,60 months,credit_card,0.17,MORTGAGE,5833.33,14,8587
8000,8000,0.11,36 months,debt_consolidation,0.12,RENT,7000,7,4729
20675,20675,0.14,36 months,credit_card,0.23,MORTGAGE,4333.33,12,8393
30000,30000,0.15,60 months,credit_card,0.17,MORTGAGE,8500,10,33770
12000,11875,0.08,36 months,debt_consolidation,0.13,MORTGAGE,5416.67,8,9993
5000,5000,0.1,36 months,wedding,0.21,RENT,5316.67,7,23818
4750,4750,0.09,36 months,home_improvement,0.01,OWN,2833.33,2,767
6500,6500,0.12,36 months,credit_card,0.25,OWN,3500,7,6948
21600,20550,0.11,36 months,major_purchase,0.09,MORTGAGE,9000,16,43362
1900,1900,0.13,36 months,home_improvement,0.23,MORTGAGE,2860,9,24209
6000,6000,0.08,36 months,house,0.07,RENT,10416.67,9,20592
8500,8500,0.08,36 months,credit_card,0.14,RENT,4333.33,11,15284
9250,9250,0.12,36 months,debt_consolidation,0.29,MORTGAGE,3333.33,10,5440
1875,1875,0.13,36 months,credit_card,0.19,RENT,1200,8,5342
2500,2450,0.13,36 months,educational,0.04,MORTGAGE,1930.75,4,1548
10000,10000,0.13,36 months,car,0.06,RENT,4583,6,2432
25000,25000,0.15,60 months,debt_consolidation,0.18,MORTGAGE,8917,10,22566
5000,5000,0.14,60 months,debt_consolidation,0.11,MORTGAGE,3083,5,1073
6000,5996.63,0.14,60 months,major_purchase,0.21,MORTGAGE,2700,10,10932
10000,10000,0.14,36 months,debt_consolidation,0.12,RENT,2541.67,4,13667
5375,5325,0.07,36 months,debt_consolidation,0.21,RENT,3000,7,5640
19000,18898.03,0.16,60 months,debt_consolidation,0.22,RENT,4333.33,5,23016
5500,5500,0.12,36 months,credit_card,0.18,RENT,3583.33,8,5668
10000,10000,0.11,36 months,debt_consolidation,0.18,RENT,5833.33,10,16894
8800,8800,0.13,60 months,major_purchase,0.03,MORTGAGE,2500,3,607
9500,9475,0.16,60 months,credit_card,0.25,RENT,6000,6,14621
12000,9294.21,0.06,36 months,debt_consolidation,0.09,MORTGAGE,6700,20,11686
16500,16500,0.12,36 months,credit_card,0.11,MORTGAGE,7250,8,17247
25000,24875,0.12,60 months,debt_consolidation,0.13,MORTGAGE,6250,5,18591
24000,24000,0.12,36 months,debt_consolidation,0.16,RENT,4500,8,29098
7000,6875,0.1,36 months,major_purchase,0.14,RENT,5000,5,1364
1200,1200,0.18,36 months,other,0.24,RENT,1700,2,0
24175,24175,0.13,36 months,home_improvement,0.08,RENT,6250,8,4681
2800,2800,0.08,36 months,credit_card,0.17,RENT,3583.33,12,5182
4000,4000,0.12,60 months,car,0.13,RENT,3500,6,5915
10000,10000,0.12,36 months,debt_consolidation,0.11,MORTGAGE,7500,6,24924
7125,7125,0.1,36 months,debt_consolidation,0.05,RENT,2946.67,6,5015
10000,9325,0.08,36 months,other,0.06,MORTGAGE,6666.67,10,3248
10000,10000,0.13,36 months,credit_card,0.05,RENT,6250,5,9620
4400,4398.89,0.15,36 months,debt_consolidation,0.22,RENT,4625,8,5707
10000,10000,0.12,36 months,debt_consolidation,0.12,RENT,4166.67,7,9817
9450,9450,0.12,36 months,credit_card,0.34,RENT,2750,17,14246
3500,3500,0.08,36 months,other,0.02,MORTGAGE,7500,4,6944
24000,24000,0.13,60 months,home_improvement,0.22,MORTGAGE,10000,17,42996
11750,11750,0.11,36 months,debt_consolidation,0.1,RENT,4583.33,6,5613
30000,24800,0.1,36 months,home_improvement,0.02,MORTGAGE,9583.33,7,4454
12000,12000,0.19,36 months,debt_consolidation,0.27,MORTGAGE,13333.33,18,62069
13000,13000,0.14,36 months,debt_consolidation,0.18,MORTGAGE,7916.67,14,10723
5000,5000,0.13,36 months,educational,0.11,RENT,3800,4,1575
15000,15000,0.14,36 months,debt_consolidation,0.16,RENT,9166.67,15,24563
16000,15975,0.13,60 months,major_purchase,0.07,MORTGAGE,5000,10,1132
12000,11975,0.15,60 months,home_improvement,0.14,MORTGAGE,7083.33,7,3923
10050,10050,0.14,36 months,debt_consolidation,0.08,OTHER,7266.67,8,24281
35000,25850,0.15,60 months,major_purchase,0.23,MORTGAGE,10000,13,13651
30000,30000,0.23,60 months,debt_consolidation,0.31,RENT,7500,12,29756
24250,24175,0.12,36 months,debt_consolidation,0.22,OWN,5000,15,100842
16000,16000,0.06,36 months,credit_card,0.06,RENT,12916.67,8,26635
9000,8996.01,0.15,36 months,debt_consolidation,0.24,RENT,5166.67,7,15149
17000,16750,0.11,60 months,car,0.18,MORTGAGE,8500,9,10324
5400,200,0.08,36 months,educational,0.03,RENT,666.67,4,1321
12000,12000,0.12,36 months,debt_consolidation,0.27,RENT,3833.33,15,6038
2000,2000,0.17,36 months,debt_consolidation,0.09,RENT,1666.67,5,4595
24000,24000,0.13,36 months,other,0.2,RENT,4583.33,5,21377
16800,16800,0.22,60 months,debt_consolidation,0.14,MORTGAGE,4000,12,12179
3000,3000,0.17,36 months,credit_card,0.23,RENT,2750,9,7648
3500,3500,0.13,36 months,major_purchase,0.05,MORTGAGE,7083,6,11616
4000,3910.45,0.08,36 months,home_improvement,0.21,MORTGAGE,3600,4,594
16000,15975,0.16,36 months,debt_consolidation,0.33,OWN,3333.33,10,24134
8800,8800,0.18,60 months,debt_consolidation,0.14,RENT,2916.67,5,7794
19725,19725,0.08,36 months,debt_consolidation,0.06,MORTGAGE,6916.67,9,16173
19750,19725,0.16,36 months,debt_consolidation,0.24,MORTGAGE,5166.67,12,33368
19750,19725,0.21,60 months,debt_consolidation,0.15,RENT,4000,4,1948
10000,10000,0.16,36 months,home_improvement,0.02,MORTGAGE,10000,3,5624
5000,212,0.09,36 months,debt_consolidation,0.02,RENT,2600,13,814
9600,9600,0.07,36 months,debt_consolidation,0.04,RENT,4333.33,7,1039
30000,29975,0.21,60 months,debt_consolidation,0.15,MORTGAGE,12500,12,24124
7000,7000,0.12,36 months,credit_card,0.15,RENT,7083.33,15,16049
8400,8400,0.11,36 months,debt_consolidation,0.08,RENT,2083.33,7,4282
5600,5600,0.14,36 months,debt_consolidation,0.25,RENT,3333.33,8,17471
20000,13175,0.08,60 months,car,0.13,MORTGAGE,19583,9,5213
15000,15000,0.12,36 months,vacation,0.03,RENT,3166.67,5,3338
17500,17500,0.13,60 months,debt_consolidation,0.23,RENT,3500,6,17734
32400,212,0.12,60 months,home_improvement,0.01,MORTGAGE,8750,4,7
12000,11975,0.12,36 months,debt_consolidation,0.11,RENT,7083.33,11,20601
10000,9875,0.14,36 months,other,0.16,RENT,2250,3,13398
12300,12275,0.08,36 months,debt_consolidation,0.22,MORTGAGE,4738.67,18,10666
15000,15000,0.11,36 months,credit_card,0.16,MORTGAGE,8750,9,15207
5000,4446.5,0.12,36 months,debt_consolidation,0.21,RENT,2500,14,14536
20000,20000,0.13,36 months,credit_card,0.15,RENT,14166.67,17,34115
21725,21725,0.16,36 months,credit_card,0.29,MORTGAGE,9166.67,15,68397
5000,5000,0.1,60 months,car,0.09,RENT,4000,6,3448
10300,10300,0.09,36 months,debt_consolidation,0.33,MORTGAGE,2583.33,19,12475
14400,14400,0.2,36 months,debt_consolidation,0.19,MORTGAGE,4166.67,7,10042
15000,15000,0.16,36 months,credit_card,0.15,RENT,6294.25,11,20270
35000,35000,0.2,60 months,credit_card,0.22,MORTGAGE,13333.33,12,46937
7000,7000,0.16,36 months,debt_consolidation,0.12,MORTGAGE,3166.67,11,6658
12500,12500,0.16,60 months,debt_consolidation,0.14,RENT,5300,7,11439
18000,18000,0.12,36 months,debt_consolidation,0.1,RENT,6666.67,13,17773
6000,6000,0.12,36 months,debt_consolidation,0.1,RENT,4166.67,13,15377
16000,16000,0.09,36 months,credit_card,0.15,RENT,5750,7,14431
35000,34950,0.23,60 months,debt_consolidation,0.16,MORTGAGE,8333.33,8,11229
10000,10000,0.07,36 months,home_improvement,0.03,RENT,13166.67,13,5643
21000,21000,0.25,60 months,credit_card,0.26,RENT,9166.67,25,17811
8000,8000,0.12,36 months,home_improvement,0.08,MORTGAGE,4166.67,6,7419
33600,32058.53,0.2,60 months,debt_consolidation,0.14,MORTGAGE,20000,12,17285
11050,10878.55,0.15,36 months,debt_consolidation,0.15,RENT,5250,12,27780
16000,16000,0.15,36 months,debt_consolidation,0.19,MORTGAGE,7666.67,16,43692
15000,15000,0.15,60 months,credit_card,0.17,RENT,4583.33,4,13115
12000,12000,0.14,36 months,debt_consolidation,0.14,MORTGAGE,8000,13,12968
4000,3975,0.15,36 months,house,0.05,RENT,1700,4,2381
12000,12000,0.18,36 months,other,0.2,RENT,5129,8,8923
12000,12000,0.1,36 months,debt_consolidation,0.12,MORTGAGE,10333.33,16,8987
7500,7500,0.05,36 months,home_improvement,0.22,MORTGAGE,2583.33,11,2160
24000,23568.65,0.08,36 months,credit_card,0.14,MORTGAGE,11666.67,10,33122
16000,16000,0.15,36 months,debt_consolidation,0.2,RENT,6000,11,10915
12200,12200,0.21,60 months,credit_card,0.09,RENT,6666.67,9,17282
12000,12000,0.1,36 months,debt_consolidation,0.12,RENT,8054.5,13,14986
12000,12000,0.15,36 months,debt_consolidation,0.26,OWN,3333.33,9,10310
9800,9775,0.06,36 months,debt_consolidation,0.14,MORTGAGE,6666.67,5,11466
7000,7000,0.15,36 months,debt_consolidation,0.11,MORTGAGE,6833,11,5537
1000,10000,0.12,36 months,moving,0.02,RENT,5500,3,5623
10000,10000,0.13,36 months,credit_card,0.19,MORTGAGE,4958.33,9,24598
17000,16975,0.12,60 months,debt_consolidation,0.13,MORTGAGE,4666.67,17,11677
18000,17975,0.19,60 months,debt_consolidation,0.16,MORTGAGE,4666.67,14,14878
15600,6575,0.12,36 months,debt_consolidation,0.07,MORTGAGE,15000,14,20237
16750,9445.58,0.12,36 months,credit_card,0.25,RENT,3750,6,28116
7200,7200,0.12,36 months,debt_consolidation,0.19,OWN,3208.33,8,9849
1500,1500,0.13,36 months,other,0.21,MORTGAGE,5000,15,38176
13600,13600,0.12,36 months,credit_card,0.21,MORTGAGE,5416.67,15,17117
30000,30000,0.24,60 months,debt_consolidation,0.11,RENT,11250,12,41592
10000,10000,0.18,36 months,debt_consolidation,0.26,RENT,2500,6,17543
10000,9850,0.1,36 months,debt_consolidation,0.14,MORTGAGE,5916.67,8,6639
10000,10000,0.12,36 months,debt_consolidation,0.06,MORTGAGE,3746.58,5,9005
7000,6975,0.13,36 months,car,0.22,MORTGAGE,3041.67,13,15394
